# Wordlist

# DATA
ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS
6617	Samoan	Samoan	samo1305	1634	One Hundred	lau	lau	Blust-118-2005	83355	518			l a u
6911	Rennell_Bellona	Rennellese	renn1242	1634	One Hundred	gau	gau	POLLEX	83360	518			g a u
7173	Tuvalu	Nanumea	tuva1244	1634	One Hundred	lau	lau	29903	192226	518			l a u
7432	Anuta	Anuta	anut1237	1634	One Hundred	rau	rau	POLLEX	83371	518			r a u
#
1	Vaeakau_Taumako	Vaeakau-Taumako	pile1238	1843	One Thousand	tupuangahulu	tupuangahulu	Hovdhaugen-375-2009	89606	5			t u p u a ŋ a h u l u
247	Wallisian	Uvea, East	wall1257	1843	One Thousand	afe	afe	POLLEX	83338	665			a f e
718	Maori	Maori	maor1246	1843	One Thousand	mano	mano	Biggs-85-2005	83320	519			m a n o
945	Kapingamarangi	Kapingamarangi	kapi1249	1843	One Thousand	mana	mana	POLLEX	83330	519			m a n a
1161	Tahitian	Tahitian (Modern)	tahi1242	1843	One Thousand	tauatini	tauatini	Clark-173-2005	102832	187			t a u a t i n i
1162	Tahitian	Tahitian (Modern)	tahi1242	1843	One Thousand	mano	mano	Clark-173-2005	83327	519			m a n o
1589	Rapanui	Rapanui (Easter Island)	rapa1244	1843	One Thousand	piere	piere	POLLEX	133596	396			p i e r e
1590	Rapanui	Rapanui (Easter Island)	rapa1244	1843	One Thousand	mano	mano	POLLEX	83339	519			m a n o
1847	Mangareva	Mangareva	mang1401	1843	One Thousand	mano	mano	POLLEX	321434	519		mano	m a n o
2110	Luangiua	Luangiua	onto1237	1843	One Thousand	simaka hokahi	simaka hokahi	POLLEX	146615	571			s i m a k a h o k a h i
2330	Tongan	Tongan	tong1325	1843	One Thousand	afe	afe	117207	83323	665			a f e
